x coord, y coord, tag, u, v, m, rho, p, a1, a2
0.100000,1.000000,0,0.001751,0.002754,3.557845,1023.094423,10239.451619,21.937367,34.504148
0.100000,1.050000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,1.100000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,1.150000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,1.200000,0,0.001751,-0.004320,3.557845,1023.094423,10239.451619,21.937367,-54.124148
0.100000,1.250000,0,0.001751,0.002754,3.557845,1023.094423,10239.451619,21.937367,34.504148
0.100000,1.300000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,1.350000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,1.400000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,1.450000,0,0.001751,-0.004320,3.557845,1023.094423,10239.451619,21.937367,-54.124148
0.100000,1.500000,0,0.001751,0.002754,3.557845,1023.094423,10239.451619,21.937367,34.504148
0.100000,1.550000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,1.600000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,1.650000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,1.700000,0,0.001751,-0.004320,3.557845,1023.094423,10239.451619,21.937367,-54.124148
0.100000,1.750000,0,0.001751,0.002754,3.557845,1023.094423,10239.451619,21.937367,34.504148
0.100000,1.800000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,1.850000,0,0.001751,-0.000783,3.557845,1023.094423,10239.451619,21.937367,-9.810000
0.100000,1.900000,0,0.001754,0.004525,3.557845,1023.094423,10239.451619,21.973259,56.697114
0.100000,1.950000,0,-0.000003,0.004525,3.557845,994.201516,0.000000,-0.035892,56.697114
0.100000,2.000000,0,0.000000,-0.000783,3.557845,892.853396,0.000000,0.000000,-9.810000
0.150000,0.050000,0,0.001170,-0.005337,3.557845,933.250804,0.000000,14.653202,-66.868744
0.150000,0.100000,0,0.002568,-0.000317,3.557845,1023.094423,10239.451619,32.169122,-3.965364
0.150000,0.150000,0,0.007740,0.006957,3.557845,997.055151,21.641416,96.970617,87.160617
0.150000,0.200000,0,0.007855,-0.000783,3.557845,997.055151,21.641416,98.410146,-9.810000
0.150000,0.250000,0,0.007855,-0.000775,3.557845,997.055151,21.641416,98.410146,-9.711385
